freq,vin,amp,pha,v1,v2
100.0,3.0,-20.6,11.0,2.791,0.25795
113.12165687240228,3.0,-20.6,11.0,2.7835,0.25965
127.96509253557505,3.0,-20.6,12.0,2.7745,0.2577
144.75623289454526,3.0,-20.5,13.0,2.7595,0.2577
163.75064907638304,3.0,-20.5,13.0,2.7255,0.26055
185.2374473745174,3.0,-20.4,15.0,2.7415,0.26235
209.54366961819832,3.0,-20.3,17.0,2.7285,0.2639
237.03927094333858,3.0,-20.2,19.0,2.7135,0.26585
268.14275072936715,3.0,-20.1,22.0,2.7,0.266
303.3275224082957,3.0,-19.8,24.0,2.6835,0.27375
343.129119098271,3.0,-19.6,25.0,2.667,0.27905
388.1533447356427,3.0,-19.3,28.0,2.6505,0.283
439.0854947706065,3.0,-19.0,31.0,2.6325,0.29185
496.7007867708953,3.0,-18.6,32.0,2.5865,0.30675
561.8761596934942,3.0,-18.2,37.0,2.603,0.31695
635.6036214163056,3.0,-17.7,39.0,2.591,0.3319
719.0053476871153,3.0,-17.2,42.0,2.582,0.354
813.3507623048415,3.0,-16.6,44.0,2.573,0.381
920.0758585035511,3.0,-15.9,46.0,2.537,0.4115
1040.8050556221967,3.0,-15.2,48.0,2.537,0.446
1177.3759237315558,3.0,-14.4,50.0,2.537,0.4885
1331.8671525418874,3.0,-13.6,51.0,2.5685,0.5385
1506.630190294667,3.0,-12.6,53.0,2.5745,0.5945
1704.3250342011547,3.0,-11.8,53.0,2.582,0.664
1927.960717179483,3.0,-11.0,53.0,2.594,0.7355
2180.941107122481,3.0,-10.0,53.0,2.609,0.8215
2467.116715788262,3.0,-9.1,52.0,2.6265,0.911
2790.843305875675,3.0,-8.2,51.0,2.649,1.0315
3157.0481883190896,3.0,-7.2,50.0,2.6715,1.1475
3571.305218886713,3.0,-6.4,46.0,2.6925,1.29
4039.919635575223,3.0,-5.6,44.0,2.718,1.4105
4570.024028076208,3.0,-4.9,40.0,2.7415,1.5515
5169.686900026701,3.0,-4.1,38.0,2.761,1.7235
5848.035476425728,3.0,-3.4,34.0,2.794,1.873
6615.3946254186685,3.0,-2.8,28.0,2.809,2.0315
7483.444008921449,3.0,-2.3,23.0,2.839,2.18
8465.395854010467,3.0,-1.9,16.0,2.86,2.294
9576.196050864288,3.0,-1.6,12.0,2.8745,2.3615
10832.751638087238,3.0,-1.5,5.0,2.885,2.428
12254.18813787656,3.0,-1.4,0.0,2.894,2.4305
13862.140657827344,3.0,-1.5,-6.0,2.87,2.4485
15681.083190117215,3.0,-1.6,-13.0,2.9,2.413
17738.70112020035,3.0,-1.8,-19.0,2.8685,2.346
20066.312614814018,3.0,-2.1,-23.0,2.8925,2.2645
22699.34530307344,3.0,-2.5,-29.0,2.885,2.1605
25677.875506024557,3.0,-3.0,-35.0,2.873,2.0365
29047.238222047672,3.0,-3.5,-39.0,2.8645,1.906
32858.71715245405,3.0,-4.2,-45.0,2.8255,1.764
37170.325269872264,3.0,-4.9,-49.0,2.845,1.6245
42047.687810140655,3.0,-5.7,-53.0,2.836,1.48
47565.041127366334,3.0,-6.5,-56.0,2.83,1.338
53806.362615316255,3.0,-7.4,-61.0,2.8105,1.2155
60866.6488932186,3.0,-8.3,-64.0,2.8075,1.087
68853.36171071658,3.0,-9.2,-67.0,2.776,0.9735
77888.06357951066,3.0,-10.2,-69.0,2.8,0.8665
88108.26802697277,3.0,-11.2,-70.0,2.794,0.778
99669.53263368846,3.0,-12.1,-72.0,2.7865,0.698
112747.82671220807,3.0,-13.2,-74.0,2.779,0.614
127542.20966447474,3.0,-14.2,-76.0,2.764,0.543
144277.86078412703,3.0,-15.2,-79.0,2.7255,0.48
163209.50661906242,3.0,-16.3,-79.0,2.7505,0.4225
184625.2980607561,3.0,-17.3,-80.0,2.739,0.374
